iter	Passed	Remaining
0	136	136287
1	150	74908
2	165	55091
3	175	43752
4	184	36731
5	191	31643
6	212	30204
7	231	28745
8	239	26338
9	248	24571
10	270	24358
11	279	23047
12	290	22047
13	306	21610
14	325	21366
15	348	21459
16	430	24878
17	445	24281
18	452	23355
19	464	22752
20	472	22048
21	421	18717
22	501	21281
23	445	18131
24	531	20726
25	552	20706
26	566	20426
27	580	20164
28	593	19880
29	604	19545
30	625	19539
31	638	19306
32	654	19190
33	669	19034
34	681	18791
35	706	18926
36	724	18856
37	739	18716
38	754	18593
39	766	18400
40	769	17995
41	776	17704
42	783	17445
43	800	17395
44	759	16123
45	845	17527
46	866	17571
47	896	17771
48	916	17784
49	933	17736
50	949	17662
51	958	17470
52	994	17765
53	998	17485
54	936	16097
55	970	16368
56	987	16340
57	1013	16467
58	58	1093	17459	1042	16332
60	1066	16418
61	1100	16642
62	62	1205	17963	63	1221	17864	64	1265	18265	65	1286	18266	66	1314	18305
67	1342	18394
68	1364	18407
69	1393	18513
70	1415	18525
71	1434	18487
72	1477	18763
73	1485	18593
74	1532	18900
75	1543	18765
76	1569	18816
77	1595	18854
78	1612	18802
79	1628	18722
80	1645	18672
81	1658	18566
82	1676	18524
83	1691	18444
84	1710	18416
85	1722	18311
86	1733	18192
87	1739	18029
88	1753	17951
89	1771	17990	90	1785	17830
91	1793	17692	92	1816	17711
93	1828	17625
94	1836	17493
95	1846	17389
96	1891	17609
97	1916	17635
98	1927	17541
99	1938	174100100	1948	173101101	1958	172102102	1982	172103103	2003	17258
104	2021	17232
105	2041	17219
106	2054	17144
107	2070	17101
108	2084	17041
109	2104	17028
110	2122	17001
111	2143	16990
112	2161	16967
113	2191	17035
114	2206	16977
115	2228	16984
116	2246	16955
117	2258	16883
118	2274	16840
119	2298	16853
120	2317	16837
121	2327	16749
122	2342	16703
123	2352	16617
124	2360125	247125	2373	16465
126	2390	16431
127	2404	16378
128	2423	16362
129	2438	16320
130	2449	16249
131	2466	16220
132	2481	16178
133	2496134	261134	2510135	263135	2522136	264136	2537137	266137	2564	16016
138	2579	15975
139	2593	15932
140	2606	15880
141	2619142	274142	2628143	2759	16403
144	2774	16360
145	2794	16344
146	2813	16325
147	2828	16281
148	2838	16214
149	2855	16182
150	2875	16168
151	2889	16120
152	2901	16060
153	2932	16110
154	2953	16101
155	2972	16082
156	2994	16078
157	3011	16046
158	3021	15984
159	3036	15940
160	3051	15904
161	3065	15855
162	3082	15826
163	3103	15820
164	3113	15757
165	3122	15687
166	3141	15668
167	3152	15611
168	3165	15566
169	3184	15545
170	3205	15538
171	3219	15499
172	3230	15444
173	3243	15396
174	3259	15364
175	3276	15338
176	3300	15345
177	3312	15294
178	3325	15252
179	3336	15199
180	3355	15182
181	3370	15150
182	3386	15117
183	3410	15124
184	3423	15080
185	3445	15077
186	3458	15036
187	3472	14999
188	3486	14960
189	3501	14927
190	3510	14868
191	3526	14842
192	3544	14820
193	3563	14806
194	3578	14774
195	3594	14742
196	3608	14707
197	3622	14672
198	3631	14616
199	3650	14601
200	3661	14556
201	3684	14555
202	3703	14541
203	3716	14502
204	3732	14473
205	3747	14444
206	3778	14475
207	3791	14438
208	3805	14400
209	3816	14358
210	3826	14307
211	3845	14291
212	3862	14272
213	3879	14250
214	3893	14215
215	3904	14170
216	3921	14149
217	3942	14141
218	3958	14116
219	3971	14080
220	3984	14046
221	3994	13999
222	4009	13969
223	4017	13916
224	4024	13862
225	4040	13836
226	4055	13811
227	4076	13803
228	4085	13754
229	4093	13705
230	4109	13681
231	4128	13665
232	4137	13618
233	4163	13628
234	4172	13582
235	4184	13546
236	4195	13506
237	4217	13501
238	4226	13456
239	4241	13431
240	4263	13426
241	4275	13392
242	4283	13344
243	4303	13335
244	4310	13283
245	4330	13272
246	4349	13259
247	4356	13211
248	4378	13207
249	4399	13197
250	4411	13165
251	4429	13148
252	4449	13136
253	4462	13105
254	4481	13092
255	4489	13048
256	4502	13017
257	4512	12977
258	4535	12976
259	4551	12954
260	4563	12920
261	4579	12900
262	4597	12884
263	4607	12844
264	4617	12807
265	4628	12772
